,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Match Type,Date,Player ID
0,15,28,24,2,0,62.5,6,bowled,2,Pakistan,Karachi,Test ,15-11-1989,1
2,59,254,172,4,0,34.3,6,lbw,1,Pakistan,Faisalabad,Test ,23-11-1989,1
3,8,24,16,1,0,50,6,run out,3,Pakistan,Faisalabad,Test ,23-11-1989,1
4,41,124,90,5,0,45.55,7,bowled,1,Pakistan,Lahore,Test ,01-12-1989,1
5,35,74,51,5,0,68.62,6,lbw,1,Pakistan,Sialkot,Test ,09-12-1989,1
6,57,193,134,6,0,42.53,6,caught,3,Pakistan,Sialkot,Test ,09-12-1989,1
7,0,-,2,0,0,0,5,caught,2,Pakistan,Gujranwala,ODI ,18-12-1989,1
8,0,1,1,0,0,0,6,caught,2,New Zealand,Christchurch,Test ,02-02-1990,1
9,24,50,44,3,0,54.54,6,caught,3,New Zealand,Christchurch,Test ,02-02-1990,1
10,88,324,266,5,0,33.08,6,caught,1,New Zealand,Napier,Test ,09-02-1990,1
11,5,15,13,1,0,38.46,6,caught,2,New Zealand,Auckland,Test ,22-02-1990,1
13,0,2,2,0,0,0,5,caught,2,New Zealand,Dunedin,ODI ,01-03-1990,1
14,36,51,39,5,0,92.3,6,caught,1,New Zealand,Wellington,ODI ,06-03-1990,1
15,10,-,12,0,0,83.33,5,run out,1,Sri Lanka,Sharjah,ODI ,25-04-1990,1
16,20,-,25,1,0,80,7,caught,2,Pakistan,Sharjah,ODI ,27-04-1990,1
17,19,38,35,1,1,54.28,4,bowled,2,England,Leeds,ODI ,18-07-1990,1
18,31,31,26,3,0,119.23,6,bowled,2,England,Nottingham,ODI ,20-07-1990,1
19,10,30,19,1,0,52.63,6,bowled,2,England,Lord's,Test ,26-07-1990,1
20,27,93,65,4,0,41.53,6,caught,4,England,Lord's,Test ,26-07-1990,1
21,68,216,136,8,0,50,6,caught,2,England,Manchester,Test ,09-08-1990,1
22,119,225,189,17,0,62.96,6,not out,4,England,Manchester,Test ,09-08-1990,1
