,Runs,Mins,BF,4s,6s,SR,Pos,Dismissal,Inns,Opposition,Ground,Match Type,Date,Player ID
1,12,33,22,1,0,54.54,2,lbw,1, Sri Lanka,Dambulla,ODI ,18-08-2008,2
2,37,82,67,6,0,55.22,2,caught,2, Sri Lanka,Dambulla,ODI ,20-08-2008,2
3,25,40,38,4,0,65.78,1,run out,1, Sri Lanka,Colombo (RPS),ODI ,24-08-2008,2
4,54,87,66,7,0,81.81,1,bowled,1, Sri Lanka,Colombo (RPS),ODI ,27-08-2008,2
5,31,45,46,3,1,67.39,1,lbw,2, Sri Lanka,Colombo (RPS),ODI ,29-08-2008,2
6,2,6,2,0,0,100,7,not out,1, Sri Lanka,Colombo (RPS),ODI ,14-09-2009,2
7,16,28,24,1,0,66.66,4,caught,2, Pakistan,Centurion,ODI ,26-09-2009,2
9,79,121,104,9,2,75.96,4,not out,2, West Indies,Johannesburg,ODI ,30-09-2009,2
10,30,53,41,3,0,73.17,4,caught,2, Australia,Vadodara,ODI ,25-10-2009,2
11,10,32,16,1,0,62.5,3,caught,2, Australia,Mohali,ODI ,02-11-2009,2
12,27,20,19,4,0,142.1,7,bowled,1, Sri Lanka,Rajkot,ODI ,15-12-2009,2
13,54,93,65,7,0,83.07,4,lbw,1, Sri Lanka,Nagpur,ODI ,18-12-2009,2
14,107,-,114,11,1,93.85,4,caught,2, Sri Lanka,Eden Gardens,ODI ,24-12-2009,2
16,9,19,12,1,0,75,3,caught,1, Sri Lanka,Mirpur,ODI ,05-01-2010,2
17,91,136,102,7,0,89.21,3,caught,2, Bangladesh,Mirpur,ODI ,07-01-2010,2
18,71,98,68,9,0,104.41,3,not out,2, Sri Lanka,Mirpur,ODI ,10-01-2010,2
19,102,128,95,11,0,107.36,3,not out,2, Bangladesh,Mirpur,ODI ,11-01-2010,2
20,2,6,8,0,0,25,3,caught,1, Sri Lanka,Mirpur,ODI ,13-01-2010,2
21,31,-,46,1,0,67.39,5,caught,1, South Africa,Jaipur,ODI ,21-02-2010,2
23,57,-,71,4,1,80.28,3,caught,2, South Africa,Ahmedabad,ODI ,27-02-2010,2
24,0,3,0,0,0,-,3,run out,1, Zimbabwe,Bulawayo,ODI ,28-05-2010,2
25,82,125,92,4,0,89.13,3,caught,2, Sri Lanka,Bulawayo,ODI ,30-05-2010,2
26,18,28,29,1,0,62.06,3,caught,1, Zimbabwe,Harare,ODI ,03-06-2010,2
27,68,123,95,5,0,71.57,3,caught,1, Sri Lanka,Harare,ODI ,05-06-2010,2
28,26,30,21,3,1,123.8,5,not out,2, Zimbabwe,Harare,T20I ,12-06-2010,2
30,11,35,22,0,0,50,3,stumped,2, Bangladesh,Dambulla,ODI ,16-06-2010,2
31,18,31,27,1,0,66.66,3,bowled,2, Pakistan,Dambulla,ODI ,19-06-2010,2
32,10,13,14,1,0,71.42,3,caught,1, Sri Lanka,Dambulla,ODI ,22-06-2010,2
33,28,57,34,4,0,82.35,3,caught,1, Sri Lanka,Dambulla,ODI ,24-06-2010,2
34,0,5,3,0,0,0,3,caught,2, Sri Lanka,Dambulla,ODI ,16-08-2010,2
35,8,22,16,1,0,50,3,caught,1, New Zealand,Dambulla,ODI ,25-08-2010,2
36,37,98,57,5,0,64.91,3,caught,2, Sri Lanka,Dambulla,ODI ,28-08-2010,2
37,118,193,121,11,1,97.52,3,caught,2, Australia,Visakhapatnam,ODI ,20-10-2010,2
38,105,162,104,10,0,100.96,3,caught,1, New Zealand,Guwahati,ODI ,28-11-2010,2
39,64,78,73,8,0,87.67,3,caught,2, New Zealand,Jaipur,ODI ,01-12-2010,2
40,63,83,70,6,2,90,3,not out,2, New Zealand,Vadodara,ODI ,04-12-2010,2
41,0,3,2,0,0,0,3,caught,2, New Zealand,Bengaluru,ODI ,07-12-2010,2
42,2,10,8,0,0,25,3,caught,2, New Zealand,Chennai,ODI ,10-12-2010,2
43,28,28,19,5,0,147.36,1,bowled,1, South Africa,Durban,T20I ,09-01-2011,2
44,54,122,70,2,1,77.14,3,caught,2, South Africa,Durban,ODI ,12-01-2011,2
45,22,43,34,1,0,64.7,3,run out,1, South Africa,Johannesburg,ODI ,15-01-2011,2
46,28,51,41,5,0,68.29,3,caught,2, South Africa,Cape Town,ODI ,18-01-2011,2
47,87,126,92,7,2,94.56,3,not out,2, South Africa,Gqeberha,ODI ,21-01-2011,2
48,2,11,6,0,0,33.33,3,caught,2, South Africa,Centurion,ODI ,23-01-2011,2
49,100,113,83,8,2,120.48,4,not out,1, Bangladesh,Mirpur,ODI ,19-02-2011,2
50,8,12,5,1,0,160,7,bowled,1, England,Bengaluru,ODI ,27-02-2011,2
51,34,82,53,3,0,64.15,4,run out,2, Ireland,Bengaluru,ODI ,06-03-2011,2
52,12,16,20,2,0,60,5,bowled,2, Netherlands,Delhi,ODI ,09-03-2011,2
53,1,2,3,0,0,33.33,7,caught,1, South Africa,Nagpur,ODI ,12-03-2011,2
54,59,128,76,5,0,77.63,3,bowled,1, West Indies,Chennai,ODI ,20-03-2011,2
55,24,38,33,1,0,72.72,4,caught,2, Australia,Ahmedabad,ODI ,24-03-2011,2
56,9,20,21,0,0,42.85,4,caught,1, Pakistan,Mohali,ODI ,30-03-2011,2
57,35,69,49,4,0,71.42,4,caught,2, Sri Lanka,Wankhede,ODI ,02-04-2011,2
58,14,15,12,2,0,116.66,3,caught,1, West Indies,Port of Spain,T20I ,04-06-2011,2
59,2,5,8,0,0,25,3,caught,2, West Indies,Port of Spain,ODI ,06-06-2011,2
60,81,118,103,6,1,78.64,3,caught,2, West Indies,Port of Spain,ODI ,08-06-2011,2
61,0,1,1,0,0,0,3,lbw,2, West Indies,North Sound,ODI ,11-06-2011,2
62,22,68,33,1,0,66.66,3,stumped,2, West Indies,North Sound,ODI ,13-06-2011,2
63,94,135,104,10,0,90.38,3,run out,1, West Indies,Kingston,ODI ,16-06-2011,2
64,4,13,10,1,0,40,5,caught,1, West Indies,Kingston,Test ,20-06-2011,2
65,15,72,54,2,0,27.77,5,caught,3, West Indies,Kingston,Test ,20-06-2011,2
66,0,1,2,0,0,0,5,caught,1, West Indies,Bridgetown,Test ,28-06-2011,2
67,27,118,107,1,1,25.23,5,caught,3, West Indies,Bridgetown,Test ,28-06-2011,2
68,30,62,53,2,0,56.6,5,caught,2, West Indies,Roseau,Test ,06-07-2011,2
70,4,5,5,0,0,80,4,caught,1, England,Manchester,T20I ,31-08-2011,2
